Date,Hour,Horse,Jockey,Position,Distance,Cuidador,Caballeriza,HorseNumber,PistaCondition,BornDate,Sex,Pelaje,Father,Mother,Grandfather,Breeder,HorseWeight,JockeyWeight
06/01/2024,15:00,MARINA BAY,VALLE MARTIN J,1,1400,MARTIN FERRO ENRIQUE,SANTA INES,1,ARENA | NORMAL,14-08-2019,HEMBRA,ZAINO,FORTIFY (USA),MARSIGLIESE,MUTAKDDIM (USA),SANTA INES,434,57
06/01/2024,15:00,PURE EMOTION,LA PALMA MARTIN A,2,1400,RIVOLLIER MICHAEL GIAN FRANCO,SEGUNDO AYRE (LP),3,ARENA | NORMAL,09-08-2019,HEMBRA,ZAINO DORADILLO,MOST IMPROVED (IRE),PURA VERDADE,PURE PRIZE (USA),DONOVAN CORNELIO GUILLERMO Y SOLVEYRA MA,512,57
06/01/2024,15:00,PRESERVADA,REYNOSO GUILLERMO S,3,1400,GODOY HECTOR RUBEN,ZORAIDA (Rº),5,ARENA | NORMAL,26-09-2019,HEMBRA,ZAINO,MANIPULATOR (USA),PRESCIENCIA,PURE PRIZE (USA),CARAMPANGUE,447,54.4
06/01/2024,15:00,KUMERA,BANEGAS KEVIN,4,1400,RIVOLLIER MICHAEL GIAN FRANCO,QUEREUQUEN (LP),4,ARENA | NORMAL,06-10-2019,HEMBRA,ZAINO,PORTAL DEL ALTO,KUCHMA,SOUTHERN HALO (USA),EL WING,448,57
06/01/2024,15:00,QUE PERPLEJA,ARIAS DANIEL E,5,1400,VELIZ GUSTAVO RAUL,RAUL Y LIDIA (SR),2,ARENA | NORMAL,04-09-2019,HEMBRA,ZAINO,GRAND REWARD (USA),SCARLET RUNNER,SEBI HALO,PORTELA MANUEL ENRIQUE,490,57.7
06/01/2024,15:00,MAS VIGENTE,MONASTEROLO IVAN E,6,1400,SUASNABAR DAMIAN R,SAN DONATO (AZ),6,ARENA | NORMAL,08-09-2019,HEMBRA,ZAINO,FULL MAST (USA),VILIGENT (USA),WOODMAN (USA),DE LA POMME,446,57
06/01/2024,15:30,VALE TOCAR,PERALTA JORGE LUIS,1,1200,SARNO GONZALO A,LOS GALANES (LP),8,ARENA | NORMAL,29-09-2018,HEMBRA,ZAINO,SANTILLANO,VALENTINA RIDE,CANDY RIDE,LA PASION,499,57
06/01/2024,15:30,EAST PRUSSIA,REYNOSO GUILLERMO S,2,1200,MONDAZZI EDGARDO A,PUEY (LP),7,ARENA | NORMAL,02-11-2018,HEMBRA,ZAINO,IL CAMPIONE (CHI),IRROBLA,INTERPRETE,EL PARAISO,438,54
06/01/2024,15:30,SIMONA BAMB,GIANNETTI ADRIAN M,3,1200,SCARPELLO GUSTAVO E,DON YAYO,2,ARENA | NORMAL,28-08-2018,HEMBRA,ZAINO NEGRO,VALID STRIPES,BAMB NISTEL,VAN NISTELROOY (USA),COSTA NINA Y GONZALEZ LONZIEME DIEGO,496,57
06/01/2024,15:30,LA GRAND PLAY,PAOLONI JUAN P,4,1200,IONADI JOSE A,LA VAGANCIA (AZ),10,ARENA | NORMAL,05-10-2018,HEMBRA,ZAINO,GRAND REWARD (USA),LA PLAY,MUTAKDDIM (USA),TEFI,470,57.1
06/01/2024,15:30,DULCE CATALINA,RICARDO JORGE A,5,1200,URIEN ALEJANDRA,NARANJA VERDE (SI),1,ARENA | NORMAL,26-09-2018,HEMBRA,ZAINO DORADILLO,HORSE GREELEY (USA),STORMY MACIZA,BERNSTEIN (USA),AMUD JULIO ALBERTO,463,57
06/01/2024,15:30,SEEK GUESS,BALMACEDA LAUTARO E,6,1200,DOMINGO MARTIN,4 ESTRELLAS (LP),3,ARENA | NORMAL,26-10-2018,HEMBRA,ZAINO,SEEK AGAIN (USA),ORPEN GUESS,ORPEN (USA),FIRMAMENTO,366,57.2
06/01/2024,15:30,LUZ AZTECA,MENENDEZ MAURICIO D,7,1200,GISANDE SERGIO G,EL VIEJITO (LP),9,ARENA | NORMAL,03-10-2018,HEMBRA,ZAINO,EMPIRE AZTEC,BASHKIRTSEVA,PEINTRE CELEBRE (USA),CAÑADA RICA,450,53
06/01/2024,15:30,INSTA GIRL,ZAPATA IVAN M,8,1200,PEREZ ALEJANDRO S,LA VIRTUD (Rº),6,ARENA | NORMAL,01-08-2018,HEMBRA,ZAINO DORADILLO,GREENSPRING (USA),INTER ASIATICA,ASIATIC BOY,VIKEDA S.R.L,444,57
06/01/2024,15:30,MATTINATA,GARCIA LUCAS N,9,1200,PIERRO LEONARDO A,WIBER (LP),5,ARENA | NORMAL,12-07-2018,HEMBRA,ZAINO,SAFETY CHECK (IRE),SPANAKOPITAS,MANIPULATOR (USA),DON ARCANGEL,428,57
06/01/2024,15:30,CUNETA SEATTLE,ALEGRE PABLO I,98,1200,ZELAYETA CARLOS G,QUE HICISTE CHICHE (LP),4,ARENA | NORMAL,13-10-2018,HEMBRA,ZAINO,SEATTLE FITZ,LICENCE TO DARE (CAN),SMART STRIKE (CAN),LA GRINGA,463,53.5
06/01/2024,16:00,NORGE (BRZ),LA PALMA MARTIN A,1,1600,GAITAN DASSIE ALFREDO F,STUD RDI (SI),10,ARENA | NORMAL,16-07-2020,MACHO,ZAINO,AGNES GOLD (JPN),FOR FREEDOM,GHADDER (FR),EXTRANJERO,490,56.4
06/01/2024,16:00,BOND TO YOU,MOREYRA WILSON R,2,1600,MAYANSKY NEER JORGE A,DON TEODORO (SI),4,ARENA | NORMAL,21-07-2020,MACHO,ZAINO,EQUAL STRIPES,BOUDICA,ORPEN (USA),ABOLENGO,557,56.2
06/01/2024,16:00,CONTRA RELOJ,RICARDO JORGE A,3,1600,MARSIGLIA LALINDE DANIEL G,LA RAMBLA (LP),1,ARENA | NORMAL,16-07-2020,MACHO,ZAINO,WINNING PRIZE,SANTA ADORADA,ADORJINSKY (USA),DON YAYO,518,56.2
06/01/2024,16:00,UN DIA SOLEADO,ARMOHA LEOPOLDO M,4,1600,ROMERO GUSTAVO E,XIMENA (SI),8,ARENA | NORMAL,30-07-2020,MACHO,ZAINO,FORTIFY (USA),URBANIA,ROMAN RULER (USA),VACACION,508,53.1
06/01/2024,16:00,TRIBUTO DE ORO,ALDERETE OSVALDO A,5,1600,AYUB RENE J,LOS T (R.IV),2,ARENA | NORMAL,19-10-2020,MACHO,ALAZAN,DANIEL BOONE (BRZ),TRIUMPH OF LOVE,PURE PRIZE (USA),SANTA MARIA DE ARARAS,500,56.4
06/01/2024,16:00,PROSPECTO ÑOQUI,MENENDEZ MAURICIO D,6,1600,TORRES HORACIO J A,EL VIENTO (SI),9,ARENA | NORMAL,23-08-2020,MACHO,ZAINO DORADILLO,INTERDETTO,SIEMPRE LUCRE,CATCHER IN THE RYE (IRE),BOUER SAUL (SUCESION) Y PAZ FRANCISCO,531,53.3
06/01/2024,16:00,SOLICITADISIMO,MONASTEROLO IVAN E,7,1600,SCARPELLO FRANCO,SAN LUCAS (SI),5,ARENA | NORMAL,27-07-2020,MACHO,TORDILLO,SEÑOR CANDY (USA),SOLICIT (USA),WILD WONDER (USA),LA LEYENDA DE ARECO,527,56
06/01/2024,16:00,MISTER MOYVORE,BANEGAS KEVIN,8,1600,MARTIN FERRO NICOLAS,LOS NELSON (SI),6,ARENA | NORMAL,08-08-2020,MACHO,ZAINO,WINNING PRIZE,STAR OF THE CITY,CITY BANKER,MARTINEZ DE HOZ SANTIAGO Y NELSON JOSE M,505,56
06/01/2024,16:00,MAESTRO GRIEGO,BARRUECO RAMIRO R,9,1600,GUTIERREZ ROBERTO C,EL CHUCHY (AZ),7,ARENA | NORMAL,10-10-2020,MACHO,ZAINO,MASTER OF HOUNDS (USA),BANDANNA,INCURABLE OPTIMIST (USA),EL PARAISO,465,56
06/01/2024,16:30,WINNING SCAPE,MOREYRA WILSON R,1,1000,GRIMALDI MARTIN L,DUKY,8,ARENA | NORMAL,26-10-2019,MACHO,ALAZAN,CITYSCAPE (GB),PURPLE WAYS,BUDDHA (USA),DUKY,486,57.4
06/01/2024,16:30,UN DIA CUALQUIERA,PERALTA JORGE LUIS,2,1000,MASSACCESI PABLO D,DON ARIEL (AZ),16,ARENA | NORMAL,22-08-2019,MACHO,ZAINO,LATIENDO,POR CLASUDA,IN CLASS (USA),LAS DOS MANOS,498,57
06/01/2024,16:30,GRAN DOMINGO,MONASTEROLO IVAN E,3,1000,ESCOBAR JORGE G,TIO COCO (BV),9,ARENA | NORMAL,10-10-2019,MACHO,ALAZAN,LIZARD ISLAND (USA),ROYAL SWEETHEART (USA),ROYAL ACADEMY (USA),MAROVI SA,481,57
06/01/2024,16:30,MAXI TEXANO,FLORES JAIRO E,4,1000,FERRERO CARLOS L,YAVEL (SR),12,ARENA | NORMAL,20-12-2019,MACHO,ZAINO,NASHVILLE TEXAN,MAXI VILMA,MAXIMILIAN,ALOMAR SEBASTIAN HUGO,478,54.9
06/01/2024,16:30,COMICO KEY,BANEGAS KEVIN,5,1000,NIEVAS FRANCO E,ABUELA CANDIDA (AZ),11,ARENA | NORMAL,10-11-2019,MACHO,ALAZAN,KEY DEPUTY (USA),SIMPATICA CAT,EASING ALONG (USA),EL ALFALFAR,518,57
06/01/2024,16:30,CHE MAFIOSO,BALMACEDA LAUTARO E,6,1000,LUQUE RUBEN D,JAVI (S.FE),1,ARENA | NORMAL,27-08-2019,MACHO,ZAINO,MANIPULATOR (USA),RUNFROMTHESTORM (USA),STORMY ATLANTIC (USA),LOSINNO PATRICIO FRANCISCO,512,57
06/01/2024,16:30,EL CACHO TEXANO,NORIEGA COBIAN LUCAS J,7,1000,FERRERO EMILIANO N,MASAMA,6,ARENA | NORMAL,25-09-2019,MACHO,ALAZAN,NASHVILLE TEXAN,LA CACHADA,THE LEOPARD (USA),MASAMA,492,57
06/01/2024,16:30,MAMBEANDO,PAOLONI JUAN P,8,1000,GENZANO MAURICIO H,RAM (Rº),5,ARENA | NORMAL,24-09-2019,MACHO,ZAINO,SANTILLANO,SALERNA,EQUAL STRIPES,MAROVI SA,497,57
06/01/2024,16:30,GO DARK,VAI LUIS F,9,1000,MARTIARENA MAXIMILIANO D,LOS GRINGOS (VM),10,ARENA | NORMAL,20-07-2019,MACHO,ZAINO,IN THE DARK,GOGETA,EASING ALONG (USA),REALE NICOLAS,561,57
06/01/2024,16:30,BUEN INC,MENENDEZ FRANCO D,10,1000,SANTACRUZ NUÑEZ GUILLERMO,CUADRA DEL INTERIOR (LP),14,ARENA | NORMAL,29-09-2019,MACHO,ALAZAN,BUEN VERSO,RENTA INC,INCLUDE (USA),SANCHEZ JUAN PABLO Y SANS MARCELO NESTOR,492,57
06/01/2024,16:30,COPETON KING,ARIAS DANIEL E,11,1000,VELIZ GUSTAVO RAUL,MATILDA Q.C (TDL),7,ARENA | NORMAL,13-11-2019,MACHO,ZAINO,CHARLES KING,KIRI COPETONA,SAN KIRICO,POEY ELIO ORLANDO,466,57
06/01/2024,16:30,CHARLIE FLOW,ENRIQUE BRIAN R,12,1000,VELA HORACIO A,E.R.J.E (S.FCO),4,ARENA | NORMAL,04-10-2019,MACHO,ZAINO,HOLY BOSS (USA),AMBAR DREAM,MUTAKDDIM (USA),BARMAN EMILIO ANGEL,482,57
06/01/2024,16:30,OLAF SCAT,ZAPATA IVAN M,13,1000,VERON AMENGUAL GASTON M,7 Y BUENA (LP),2,ARENA | NORMAL,12-07-2019,MACHO,ZAINO,KNOCKOUT (CHI),OLIGARCA SAM,ALRASSAAM (GB),CARYJUAN,430,57
06/01/2024,16:30,MR FREE,LAVIGNA FRANCISCO J,14,1000,FRISCIA GASTON,EULOGIA (SR),3,ARENA | NORMAL,15-10-2019,MACHO,ALAZAN,SECURITY RISK (USA),GRAND FOLLOWER,GRAND REWARD (USA),HARAS SANTA ANA SOC DE HECHO DE IGUACEL,530,57
06/01/2024,17:00,INTENSE FOR ME,VALLE MARTIN J,1,1600,MARTIN FERRO NICOLAS,TOROQUEMERO,3,CESPED | NORMAL,20-08-2020,MACHO,ALAZAN,FORTIFY (USA),INTENSE LOOK,HALO SUNSHINE (USA),ABOLENGO,465,55
06/01/2024,17:00,DON LATIDO,ENRIQUE BRIAN R,2,1600,BORDON DANIEL A,SAN BENITO,4,CESPED | NORMAL,19-10-2019,MACHO,ALAZAN,JOHN F KENNEDY (IRE),DOÑA ALASKA,ASIATIC BOY,SAN BENITO,430,60
06/01/2024,17:00,WESTERN CAMP,RICARDO JORGE A,3,1600,MARTUCCI EDGARDO P,RODOLFO PEDRO,2,CESPED | NORMAL,20-09-2019,MACHO,ZAINO,ORPEN (USA),WESTERN GIRL,PERFECTPERFORMANCE (USA),CARAMPANGUE,500,60
06/01/2024,17:00,GLOBAL HOLIDAY,VELAZQUEZ CRISTIAN E,4,1600,BORDON DANIEL A,ESTANCIA LA CHIQUITA (SI),5,CESPED | NORMAL,21-09-2019,MACHO,ZAINO,GLOBAL HUNTER,FELICES VACACIONES,HARLAN'S HOLIDAY (USA),DELLACASA RAFAEL,474,60
06/01/2024,17:00,ECOLOGO ESTRELLA,ARIAS DANIEL E,5,1600,VELIZ GUSTAVO RAUL,EL TREBOL DE PICUN (LP),1,CESPED | NORMAL,05-11-2017,MACHO,ALAZAN,ECOLOGO,ATHENA STARWOMAN (USA),MARQUETRY,SAN LORENZO DE ARECO,476,60
06/01/2024,17:00,FANTASTIC PLANET,BARRUECO RAMIRO R,6,1600,LOFIEGO JOSE A,DON LELO,6,CESPED | NORMAL,18-10-2016,MACHO,ZAINO,HELIOSTATIC (IRE),FANNY DOLL,LODE (USA),SANTA MARIA DE ARARAS,490,60
06/01/2024,17:30,EXACT SOUND,BARRUECO RAMIRO R,1,1100,IRRAZABAL JORGE M,LOS VASCOS (MZA),11,ARENA | NORMAL,31-08-2020,MACHO,ALAZAN,LONG ISLAND SOUND (USA),EXACT TIME,EQUAL STRIPES,ABOLENGO,438,56
06/01/2024,17:30,TRAGO SEGURO,CALVENTE GUSTAVO E,2,1100,RETRIVO FACUNDO,EL GALLO RETRIVO (LP),2,ARENA | NORMAL,31-08-2020,MACHO,ALAZAN,SECURITY RISK (USA),BORRACHA CONTENTA,DISTORTED HUMOR (USA),IGUACEL LOEDA FEDERICO,460,57.8
06/01/2024,17:30,FLIGHT LETAL,PERALTA JORGE LUIS,3,1100,DULOM MELANIA,HARAS DON HECTOR (LP),7,ARENA | NORMAL,11-11-2020,MACHO,ALAZAN,DON LETAL,FLIGHT PACK,MISSIONARY (USA),RIPA ALBERDI CRUZ,475,56
06/01/2024,17:30,IMITADOR,ARMOHA LEOPOLDO M,4,1100,CAREZZANA SERGIO L,EL ARRABALERO (R.IV),10,ARENA | NORMAL,30-07-2020,MACHO,ZAINO,GRAND REWARD (USA),LA MIMICA,ENDORSEMENT (USA),LA QUEBRADA,490,53.2
06/01/2024,17:30,JOVIANUS,VELAZQUEZ CRISTIAN E,5,1100,LABANCA OMAR F,LAS CANARIAS,9,ARENA | NORMAL,02-11-2020,MACHO,ZAINO,GLOBAL HUNTER,JOURDAIN,ORPEN (USA),TIVERES,476,57
06/01/2024,17:30,BOMB SLEW,ENRIQUE BRIAN R,6,1100,SARNO GONZALO A,LOS BONITOS (AZ),4,ARENA | NORMAL,22-09-2020,MACHO,ZAINO,HIT IT A BOMB (USA),FOOT SLEW,FOOTSTEPSINTHESAND (GB),FIRMAMENTO,487,56
06/01/2024,17:30,MOVER LIGERO,MOREYRA WILSON R,7,1100,ALVAREZ ANGEL O,HS MAC GREGOR (SR),12,ARENA | NORMAL,25-07-2020,MACHO,ALAZAN,FIRST MOVER,OLA LIGERA,STORM SURGE (USA),MAC GREGOR,508,56
06/01/2024,17:30,TORSO DE MOLINA,PAOLONI JUAN P,8,1100,GAITAN LUIS A,JAVI (S.FE),3,ARENA | NORMAL,12-09-2020,MACHO,ALAZAN,ANGIOLO,BALDISSERA,EASING ALONG (USA),CALIGIURI JUAN JOSE,460,56
06/01/2024,17:30,EL OPULENTO,BANEGAS KEVIN,9,1100,ALVAREZ MARIA F,APO (LP),1,ARENA | NORMAL,15-09-2020,MACHO,ZAINO,GREENSPRING (USA),LA CHERIE,VICTORY SPEECH (USA),GIRADO JOSE IGNACIO,507,56
06/01/2024,17:30,UN AMOR PERFECTO,BELLOCQ GONZALO E,10,1100,PIGHIN LEONARDO P,EL CAPRICHO (Rº),8,ARENA | NORMAL,28-10-2020,MACHO,ZAINO,ADORE ME AMORE,ELENITA AMADA,PRINCE BOY,MI COMPLEJO,473,56
06/01/2024,17:30,FULL FOREVER,VALDEZ AGUSTINA B,11,1100,MONCADA JUAN M,LOS LOPECITOS (R°),6,ARENA | NORMAL,19-07-2020,MACHO,ALAZAN,FULL MAST (USA),FORTY BOQUITA,ROAR (USA),HARAS GRAN MUÑECA,480,52
06/01/2024,18:00,FEZ,ENRIQUE BRIAN R,1,1400,INTRA JOSE L,DON JUAN (VT),6,ARENA | NORMAL,19-07-2019,HEMBRA,ALAZAN,SANTILLANO,VOTA YA,DISTORTED HUMOR (USA),LA PASION,422,57
06/01/2024,18:00,LUZ AMALI,ARMOHA LEOPOLDO M,2,1400,GUTIERREZ ROBERTO C,EL MOUFLON,3,ARENA | NORMAL,13-07-2019,HEMBRA,ZAINO,LUCKY ISLAND,CAIPORA,NOT FOR SALE,ALBORADA,474,54
06/01/2024,18:00,MIRADA SINGULAR,VELAZQUEZ CRISTIAN E,3,1400,CAROPRESE ROBERTO R,DON YAYO,2,ARENA | NORMAL,26-09-2019,HEMBRA,ZAINO,VALID STRIPES,JAZZ RYE,CATCHER IN THE RYE (IRE),DON YAYO,469,57.2
06/01/2024,18:00,DONA DO SO,CHAVES URBANO J,4,1400,SANCHEZ EZEQUIEL I,LAS BANDERITAS (LP),7,ARENA | NORMAL,26-08-2019,HEMBRA,ALAZAN,STORM EMBRUJADO,DO SO (USA),STORM CAT (USA),CUESTION DE FE S.A.,426,55.2
06/01/2024,18:00,STAY NATURAL,FRIAS ROLANDO I,5,1400,ARGUELLO MIGUEL A,RAUL Y ROSA (LP),8,ARENA | NORMAL,06-08-2019,HEMBRA,ZAINO,HURRICANE CAT (USA),SOUTH SEA,GRAND SLAM (USA),VACACION,454,57
06/01/2024,18:00,CHE MEJICANA,ALDERETE OSVALDO A,6,1400,TAVARES LEONARDO F,CHEMECO (R.IV),1,ARENA | NORMAL,02-09-2019,HEMBRA,ALAZAN,VASTAGO SALVAJE,FORTY MAIRESSE,ROAR (USA),LOSINNO PATRICIO FRANCISCO,454,57
06/01/2024,18:00,FORTY HELENA,RAMALLO LAUTARO N,7,1400,RAMALLO RAUL A,C.S.N.E. (LP),5,ARENA | NORMAL,24-08-2019,HEMBRA,ZAINO,FORTIFY (USA),HELENA RYE,CATCHER IN THE RYE (IRE),STUD HARAS GRAN MUÑECA S. A.,419,55
06/01/2024,18:30,EMERIT CRAF,VALLE MARTIN J,1,2200,GAITAN DASSIE ALFREDO F,FIRMAMENTO,6,CESPED | NORMAL,21-10-2017,HEMBRA,ALAZAN,MASTERCRAFTSMAN (IRE),EMERIT CELEBRE,PEINTRE CELEBRE (USA),FIRMAMENTO,514,60
06/01/2024,18:30,CATRIONA,LAVIGNA FRANCISCO J,2,2200,CORREA ARANHA JOSE L,VACACION,11,CESPED | NORMAL,15-07-2020,HEMBRA,ZAINO,FORTIFY (USA),CAMIONETA,VISION AND VERSE (USA),VACACION,491,54
06/01/2024,18:30,BALLADO'S BEACH,GIANNETTI ADRIAN M,3,2200,BORDON DANIEL A,LAS MONJITAS,4,CESPED | NORMAL,24-08-2018,HEMBRA,ZAINO,TREASURE BEACH (GB),BALLADO'S CAT (USA),SAINT BALLADO,EL GUSY,438,60
06/01/2024,18:30,EQUIPADA A TOPE,BANEGAS KEVIN,4,2200,MARTIN FERRO NICOLAS,LA NATIVIDAD (SI),10,CESPED | NORMAL,02-08-2020,HEMBRA,ZAINO,FORTIFY (USA),EQUIPADA,SUNRAY SPIRIT (USA),ABOLENGO,523,54.1
06/01/2024,18:30,VISION TRIOMPHE,MOREYRA WILSON R,5,2200,VIVAS RUBEN M,TRAMO 20 (SDE),8,CESPED | NORMAL,14-10-2019,HEMBRA,ZAINO,CIMA DE TRIOMPHE (IRE),SOMBRIA VISION,POLLARD'S VISION (USA),LOS PRADOS,488,60
06/01/2024,18:30,PRINCESADELPASTIZAL,MONASTEROLO IVAN E,6,2200,CARDON RICARDO A,LA VIZCAINA (AZ),2,CESPED | NORMAL,16-09-2020,HEMBRA,ZAINO,TREASURE BEACH (GB),CUSTOM HOUSE,ORPEN (USA),GAYOL DIEGO NESTOR,443,54.4
06/01/2024,18:30,JOY MIRENLA,ARREGUY FRANCISCO A (H),7,2200,MARTIN FERRO ENRIQUE,HS. LAS RETAMAS,5,CESPED | NORMAL,07-10-2017,HEMBRA,ZAINO,FORTIFY (USA),STORMY MIA,BERNSTEIN (USA),LA BIZNAGA,480,60
06/01/2024,18:30,MISS LEAH,ESPINOZA JOSE DEL JESUS,8,2200,GAITAN DASSIE ALFREDO F,STUD RDI (SI),3,CESPED | NORMAL,01-10-2019,HEMBRA,ZAINO,FORTIFY (USA),DESIRE TO WIN (BRZ),REFUSE TO BEND,HARAS RIO DOIS IRMAOS S. R. L.,454,60
06/01/2024,18:30,CALA TARIDA,MEDINA JESUS A,9,2200,FALERO PABLO G,TATA JUAN,1,CESPED | NORMAL,31-07-2019,HEMBRA,ZAINO,MANIPULATOR (USA),CANDY COOKIE,AWESOME AGAIN (CAN),LA PASION,462,60
06/01/2024,18:30,GALITZA,NORIEGA JUAN C,10,2200,ETCHECHOURY JUAN IGNACIO,RUBIO B,9,CESPED | NORMAL,16-10-2019,HEMBRA,ZAINO,BODEMEISTER (USA),GOLDEN YOGA,EASING ALONG (USA),LA PASION,475,60
06/01/2024,18:30,DOÑA NAIF,ENRIQUE BRIAN R,11,2200,BORDON DANIEL A,SAN BENITO,7,CESPED | NORMAL,20-08-2019,HEMBRA,ZAINO,FULL MAST (USA),DOÑA TENAZA,VAL ROYAL (FR),SAN BENITO,471,60
06/01/2024,19:00,UNBEATEN,GIORGIS ABEL L J,1,1000,ROLDAN JOSE A,EL BUCHON (LP),8,ARENA | NORMAL,11-09-2016,MACHO,ZAINO,INTERACTION,UNBENDING,SPEIGHTSTOWN (USA),HARAS FUTURO SRL,505,55.2
06/01/2024,19:00,GRAZIAS CAT,LAVIGNA FRANCISCO J,2,1000,BARISONE JAVIER H,ZORRO VIEJO (AZ),7,ARENA | NORMAL,14-08-2018,MACHO,TORDILLO,HURRICANE CAT (USA),DE BAYONA,LASTING APPROVAL (USA),GRAZIAS,456,57
06/01/2024,19:00,EL REY DEL MONTE,BANEGAS KEVIN,3,1000,GOICOECHEA CARLOS D,EL SUMBLENCE (AZ),11,ARENA | NORMAL,06-10-2018,MACHO,ALAZAN,SOUTH KISSING,HALO REINA,BILBERRY,ALDA NESTOR ARNALDO,534,57
06/01/2024,19:00,OJO CON ESTIRPE,FLORES JAIRO E,4,1000,NICORA SERGIO L,SANTIAGUITO (AZ),3,ARENA | NORMAL,23-09-2018,MACHO,ALAZAN,SIR WINSALOT,BEAUTY GLOVE,SUNRAY SPIRIT (USA),BUEN OJO,410,54.7
06/01/2024,19:00,TIO LUIGGI KING,SINIANI EMILIANO F,5,1000,FERNANDEZ FORLAN LUIS A,VIEJO CELSO (LF),2,ARENA | NORMAL,24-07-2018,MACHO,ZAINO,CHARLES KING,HERITAGE,SEBI HALO,MAC GREGOR,496,57
06/01/2024,19:00,IL MESSAGGERO,PERALTA JORGE LUIS,6,1000,ZENGARO PABLO D,DADO VUELTA (LP),6,ARENA | NORMAL,26-07-2018,MACHO,ALAZAN,LIZARD ISLAND (USA),ILLEGALLY BLONDE,SOUTHERN HALO (USA),LA PASION,522,57
06/01/2024,19:00,LE MAGUL,PILIERO SERGIO A,7,1000,URDAGARAY ALBERTO O,STUD NIKITO (CDIA),10,ARENA | NORMAL,14-07-2017,MACHO,ZAINO,LE BLUES,PRECIOUS TIME,MANIPULATOR (USA),STA. ELENA,525,55
06/01/2024,19:00,CAUDILLO RIOJANO,GONZALEZ ROQUE L,8,1000,ABALOS NESTOR G,EL MANICOMIO,1,ARENA | NORMAL,22-11-2017,MACHO,ZAINO,ALIWEN,CAT THE GOLD,GOLD GIFT,LOS EDUCADITOS,514,55.5
06/01/2024,19:30,OLIMPIA DE EPIRO,CALVENTE GUSTAVO E,1,2000,KOT MARIO ALEJANDRO,LOS COWBOYS (SI),5,ARENA | NORMAL,07-10-2018,HEMBRA,ALAZAN,SOUTHERN CAT (CHI),ALEGORICA MET,EL METEORO,PANDO JORGE D,484,58.1
06/01/2024,19:30,SHANA TOVA,VELAZQUEZ CRISTIAN E,2,2000,MARTUCCI EDGARDO P,RODOLFO PEDRO,2,ARENA | NORMAL,05-08-2018,HEMBRA,TORDILLO,SIR WINSALOT,PAELLERA,MANIPULATOR (USA),DON ARCANGEL,448,57.9
06/01/2024,19:30,POTRA DECIMAL,BONASOLA GABRIEL L,3,2000,GIUSSI JUAN MARTIN,LOS CIRUELOS (SI),3,ARENA | NORMAL,18-08-2018,HEMBRA,ZAINO,AEROSOL (BRZ),BINARY,INCURABLE OPTIMIST (USA),DON TEO,460,57.4
06/01/2024,19:30,CHUPETINA KISSING,FRIAS ROLANDO I,4,2000,LOPEZ ALBERTO M,1912 (LP),4,ARENA | NORMAL,05-09-2018,HEMBRA,ZAINO,SOUTH KISSING,CHUPETINA,INDYGO SHINER (USA),MIL NOVECIENTOS DOCE,445,57
06/01/2024,19:30,MELISANDRE,BANEGAS KEVIN,5,2000,GIUSSI JUAN MARTIN,LOMBARDO,6,ARENA | NORMAL,21-08-2017,HEMBRA,ALAZAN,PETEN ITZA,SANOMA,ALLURING EYE (USA),DON TEO,458,55
06/01/2024,19:30,EDONIS,VALDEZ AGUSTINA B,6,2000,VILLALBA LUIZ C,WIBER (LP),1,ARENA | NORMAL,13-08-2018,HEMBRA,ZAINO,ZENSATIONAL (USA),ESTAS AFUERA (USA),BERNSTEIN (USA),AGROITAR SA Y UP S. A.,490,53
06/01/2024,20:00,SUPER BLESSED,VALLE MARTIN J,1,1400,BORDON DANIEL A,BLACKTYPE BLOODSTOCK,2,ARENA | NORMAL,03-10-2019,MACHO,ALAZAN,SUPER SAVER (USA),VERY BLESSED (USA),DISTORTED HUMOR (USA),FIRMAMENTO,470,57
06/01/2024,20:00,FULL AMOROSO,ENRIQUE BRIAN R,2,1400,BERTI MARCELO E,EL GRAN ROBERT (AZ),10,ARENA | NORMAL,21-08-2019,MACHO,ZAINO,FULL MAST (USA),TORTOLA KEY,KEY DEPUTY (USA),STUD HARAS GRAN MUÑECA S. A.,494,57
06/01/2024,20:00,BERRI VELL,PAOLONI JUAN P,3,1400,SAHAGIAN PABLO E,MATADEROS (AZ),1,ARENA | NORMAL,02-08-2019,MACHO,ZAINO DORADILLO,BODEMEISTER (USA),BUENAS COSTUMBRES (USA),HONOUR AND GLORY (USA),LA PASION,492,57.1
06/01/2024,20:00,FULL NOSTALGIOSO,MARTINEZ ELIAS D,4,1400,DOMINGO MARTIN,PANCHO R.X (AZ),9,ARENA | NORMAL,12-09-2019,MACHO,ZAINO,FULL MAST (USA),NOSTALGIOSA KEY,KEY DEPUTY (USA),STUD HARAS GRAN MUÑECA S. A.,460,57
06/01/2024,20:00,SPLENDID SEIVER,SINIANI EMILIANO F,5,1400,TADEI EDUARDO C,ANAXOR (LP),3,ARENA | NORMAL,08-10-2019,MACHO,ZAINO,SUPER SAVER (USA),ESPLENDIDA HALO,SOUTHERN HALO (USA),FIRMAMENTO,506,57
